url,isBlog,reason,possibleBlogFeedLinks
"www.investkaroindia.co.in","false","The website appears to be a business landing page with no evidence of regularly published articles or posts in chronological order. There are no blog metadata elements such as titles, publish dates, authors, or categories/tags. Additionally, there are no <article> tags or RSS feed links present.",""
"candorinvesting.com","false","The website appears to be primarily focused on investment services and does not regularly publish articles or posts in a chronological order. It lacks the necessary blog metadata and structure typically found in blog sites.",""
"www.wikiwand.com","false","The website appears to be a content aggregation site rather than a blog, as it does not regularly publish articles in a chronological order, lacks typical blog metadata, and does not have a structure indicative of a blog site.",""
"www.abhayjain.com","false","The website appears to be a personal or business site without multiple articles or blog-like content. It lacks the necessary blog indicators such as a chronological list of posts, typical blog metadata, and RSS feed links.",""
"www.solidarity.in","false","The website appears to be a business landing page with no evidence of regularly published articles or posts in chronological order. There are no blog metadata elements such as titles, publish dates, authors, or categories/tags present. Additionally, there are no <article> tags or RSS feed links found in the HTML snippet.",""
"www.cnbctv18.com","true","The website regularly publishes articles in chronological order, contains multiple posts on the homepage, includes blog metadata such as titles, publish dates, and authors, and has RSS feed links.","https://www.cnbctv18.com/rss ; https://www.cnbctv18.com/feed"
"finshots.in","true","The site regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features <article> tags and multiple posts on the homepage.",""
"www.nationaljeweler.com","false","The website appears to be primarily a news and information site focused on the jewelry industry, lacking the characteristics of a blog such as regular chronological posts, typical blog metadata, and a structure indicative of a blog.",""
"www.hvinvesting.com","false","The website appears to be primarily a business landing page with no evidence of regularly published articles or posts in chronological order. There are no blog metadata elements such as titles, publish dates, authors, or categories/tags present. Additionally, there are no <article> tags or RSS feed links found in the HTML snippet.",""
"stockdiscovery.s3.ap-south-1.amazonaws.com","false","The website does not appear to contain multiple posts or articles, lacks typical blog metadata, and does not have a structure indicative of a blog site.",""
"www.linkedin.com","false","The website is primarily a professional networking platform and does not regularly publish articles or posts in a chronological order. It lacks typical blog metadata and does not contain multiple posts or articles on the homepage. There are no blog-specific URLs or RSS feed links present.",""
"www.plindia.com","false","The website appears to be a business landing page with no evidence of regularly published articles or posts, and lacks typical blog metadata such as titles, publish dates, authors, or a blog structure.",""
"www.theceomagazine.com","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has multiple posts listed on the homepage. It also contains <article> tags and RSS feed links.","https://www.theceomagazine.com/feed/ ; https://www.theceomagazine.com/rss/"
"reports.dionglobal.in","false","The website appears to be a business site with no evidence of regularly published articles or posts in chronological order. There are no blog metadata elements such as titles, publish dates, authors, or categories/tags. The content does not resemble informational or editorial pieces, and there are no RSS or Atom feed links present.",""
"www.bseindia.com","false","The website is primarily a financial services site with static content and does not regularly publish articles or posts in chronological order. It lacks typical blog metadata and structure.",""
"uncommonprofits.home.blog","true","The website contains multiple posts with titles, publish dates, authors, and categories. It uses <article> tags and has a structure that supports chronological posting. Additionally, it includes RSS feed links.","https://uncommonprofits.home.blog/feed/"
"www.slideshare.net","false","The website is primarily a document sharing platform and does not regularly publish articles or posts in chronological order. It lacks typical blog metadata and does not have a structure indicative of a blog site.",""
"www.gsninvest.com","false","The website appears to be a business landing page with no evidence of regularly published articles or posts, and lacks typical blog metadata such as titles, publish dates, authors, or a blog structure.",""
"www.soic.in","false","The website appears to be a business or institutional site with static content and does not regularly publish articles or posts in chronological order. There are no indications of blog metadata such as titles, publish dates, authors, or categories/tags, and it lacks the necessary structure for a blog site.",""
"blog.investyadnya.in","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features <article> tags and multiple posts on the homepage.",""
"smartsyncservices.com","false","The website appears to be a business landing page with no articles or blog posts present. It lacks the necessary blog indicators such as multiple posts, blog metadata, and RSS feed links.",""
"open.spotify.com","false","The website is primarily a music streaming service and does not regularly publish articles or posts in chronological order. It lacks typical blog metadata, multiple posts, and does not have a blog structure.",""
"arjunbadola.blog","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features <article> tags and multiple posts on the homepage.",""
"www.ktexplorer.com","false","The website appears to be a business landing page with no evidence of regularly published articles or posts, and lacks typical blog metadata such as titles, publish dates, authors, or a structured blog section.",""
"images.assettype.com","false","The website appears to be an asset management site, likely focused on images and media rather than regularly publishing articles or blog posts. There are no indications of blog metadata, multiple posts, or a blog structure.",""
"businessindia.co","false","The website appears to be a business site with static content and does not regularly publish articles or posts in chronological order. There are no indications of blog metadata such as titles, publish dates, authors, or categories/tags, and it lacks the necessary structure for a blog.",""
"www.motilaloswal.com","false","The website is primarily a business landing page with no articles or blog-like content. It does not feature multiple posts, blog metadata, or a structure indicative of a blog site.",""
"www.goindiastocks.com","false","The website appears to be a business site focused on stock market information and does not regularly publish articles or posts in a chronological order. There are no indications of blog metadata such as titles, publish dates, authors, or categories. The content does not resemble typical blog posts and lacks the necessary structure to qualify as a blog.",""
"knowledge.wharton.upenn.edu","true","The site regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has multiple posts listed on the homepage. It also contains elements like <article> tags and has RSS feed links.","https://knowledge.wharton.upenn.edu/feed/ ; https://knowledge.wharton.upenn.edu/rss/"
"premium.capitalmind.in","false","The website appears to be focused on financial services and does not exhibit the characteristics of a blog site, such as multiple chronological posts or typical blog metadata.",""
"www.shreyanssingh.in","false","The website appears to be a personal or business site without multiple articles or posts listed in chronological order, and lacks typical blog metadata and structure.",""
"drive.google.com","false","The website is a Google Drive service page, which is primarily a file storage and sharing platform. It does not publish articles or posts, lacks blog metadata, and does not have a structure indicative of a blog site.",""
"www.businesstoday.in","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has multiple posts listed on the homepage. It also contains elements like <article> tags and has RSS feed links.","https://www.businesstoday.in/rss ; https://www.businesstoday.in/feed"
"yourstory.com","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features multiple posts on the homepage along with RSS feed links.","https://yourstory.com/feed ; https://yourstory.com/rss"
"www.oxbow.com","false","The website is primarily a business landing page with no articles or blog-like content. It does not feature multiple posts, blog metadata, or any RSS feed links.",""
"www.multipie.co","false","The website appears to be a business landing page with no evidence of regularly published articles or posts, and lacks typical blog metadata and structure.",""
"community.finvezto.com","false","The website appears to be a community forum or discussion platform rather than a blog site, as it does not regularly publish articles or posts in chronological order and lacks typical blog metadata.",""
"t.co","false","The website t.co is primarily a URL shortening service and does not regularly publish articles or posts in chronological order. It lacks typical blog metadata, multiple posts, and does not have a structure indicative of a blog site.",""
"www.valuewala.com","false","The website appears to be a business landing page with no evidence of regularly published articles or posts, and lacks typical blog metadata and structure.",""
"www.facebook.com","false","The website is primarily a social media platform and does not regularly publish articles or posts in a chronological order. It lacks typical blog metadata and does not have a structure indicative of a blog site.",""
"viceroyresearch.org","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features <article> tags and multiple posts on the homepage.",""
"www.sunitatools.com","false","The website appears to be a business landing page with no articles or blog-like content. It does not have multiple posts, blog metadata, or any of the typical blog structure elements.",""
"internal.tijorifinance.com","false","The website appears to be a business landing page with no evidence of regularly published articles or posts, and lacks typical blog metadata such as titles, publish dates, authors, or RSS feed links.",""
"www.dsij.in","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features <article> tags and multiple posts on the homepage.",""
"empor.top","false","The website does not appear to have multiple posts or articles listed together, lacks typical blog metadata, and does not include elements indicative of a blog structure such as <article> tags or RSS feed links.",""
"www.tijorifinance.com","false","The website appears to be a business site with no evidence of regularly published articles or posts in chronological order. There are no blog metadata elements such as titles, publish dates, authors, or categories/tags. The content does not resemble informational or editorial pieces, and there are no RSS or Atom feed links present.",""
"www.moneycontrol.com","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has multiple posts listed on the homepage. It also contains elements like <article> tags and has RSS feed links.","https://www.moneycontrol.com/rss ; https://www.moneycontrol.com/feed"
"greenedgewealth.com","false","The website appears to be a business landing page with no evidence of regularly published articles or posts, and lacks typical blog metadata and structure.",""
"manufacturing.economictimes.indiatimes.com","false","The website appears to be a news section of a business site focused on manufacturing, lacking the characteristics of a blog such as regular chronological posts, typical blog metadata, and a structure indicative of a blog.",""
"www.electronicsforyou.biz","false","The website appears to be a business landing page with no evidence of regularly published articles or posts, and lacks typical blog metadata and structure.",""
"www.learninglifelong.in","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features <article> tags and multiple posts on the homepage.",""
"thelogicalindian.com","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features <article> tags and multiple posts on the homepage.","https://thelogicalindian.com/feed ; https://thelogicalindian.com/rss"
"thedailybrief.zerodha.com","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features <article> tags and multiple posts on the homepage.",""
"boringmoney.in","false","The website appears to be a business landing page with no evidence of regularly published articles or posts in chronological order. There are no blog metadata elements such as titles, publish dates, authors, or categories/tags present. Additionally, there are no <article> tags or RSS feed links found in the HTML snippet.",""
"www.fortuneindia.com","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has multiple posts listed on the homepage. It also contains <article> tags and has RSS feed links.","https://www.fortuneindia.com/rss ; https://www.fortuneindia.com/feed"
"shows.ivmpodcasts.com","true","The site regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features <article> tags and multiple posts on the homepage.",""
"www.grahamanddoddsville.net","true","The website regularly publishes articles in chronological order, includes blog metadata such as titles, publish dates, authors, and categories, and has a structure that features <article> tags and multiple posts on the homepage.",""
